Lemma
aba
abainduce
abiotic
abscisic
aluminium
aluminum
anther
aphid
apical
auxin
bacillus
bacteria
bacterial
benzoxazinoid
biotic
bluelight
brassinolide
brassinosteroid
callus
casparian
celcius
celsius
centigrade
cfu
chill
chlorine
chlorophyll
chronic
circadian
citrate
citric
cold
colletotrichum
commensal
contol
control
controlledenvironment
cool
copper
cotyledon
cotyledons
coumarins
cu
cytokinin
damage
dark
darken
darkgrown
darkinduce
darkness
dcmu
death
decay
defense
deficiency
deficient
degree
dehydration
dev
develop
development
developmental
differentiate
differentiation
disease
diterpene
diurnal
dormancy
drought
dry
egg
elicitor
elongation
embryo
embryogenesis
endodermis
endosperm
enterobacter
epidermis
estradiol
estrogen
ethylene
etiolate
exposure
facsisolate
fe
feedingdamaged
female
femalespecific
flooding
floral
florigen
flower
flowering
froze
frozen
fruit
fungal
fungi
fungus
gamete
gamma
germinate
germination
gibberellin
graft
grafting
grain
gram
gravistimulate
gravistimulation
heating
heavyion
herbivory
highlight
hormonal
hormone
host
hyaloperonospora
hypocotyl
iaa
icecold
immune
immuneresponse
immunity
infect
infection
infestation
inflorescence
inoculate
inoculation
inoculum
insect
iron
irradation
irradiate
irradiation
ja
jaet
jaresponsive
jasmonate
laccaria
laibachii
larva
larval
lead
leaf
leave
licl
liclbased
light
lignin
maculicola
magnesium
male
malespecific
mannitol
meja
meristem
meristematic
meristems
meristemspecific
metal
mg
mgml
microbe
microbial
microbiota
mildew
myzus
nacl
nematode
nhydroxypipecolic
night
nitrate
nitrogen
nutrient
oldseedling
organ
organspecific
osmotic
ovary
oviposition
ovule
paternal
pathogen
pathogenic
pattern
patterning
pb
persicae
petiole
phloem
phosphate
phosphatedeficient
phosphaterich
photomorphogenesis
pi
pipecolic
pistil
plastid
pollen
pollinate
pollination
postgermination
primordium
proteotoxic
protophloem
protoplast
prrdeficient
pseudomonas
recalcitrant
reproductive
rhizobia
rhizobiales
rhizobium
root
rootsecreted
rootstock
ros
rosette
rosettes
sa
salicylate
salicylic
salt
seed
seeding
seedling
senescence
sepal
shade
shadeinduce
shear
shearing
shoot
shootphloemcompanioncelltagged
shortday
sieve
silique
sodium
solanoeclepin
sperm
spore
starvation
stem
sterol
stomatal
stress
stressdependent
sucrose
syringae
temperature
temperaturetriggere
thermosensor
thermotolerance
tip
toxicity
trehalose
trichome
tube
uvb
uvinduce
uvirradiated
vitamin
water
watering
wildtype
wound
wounding
xylem
young
